,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN","MARK UP"
,"Not-active","Inventory Part","022315206915","Oscillator assembly kit for Great White","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Oscillator assembly kit for Great White",0,,60.52,,,85.17,"",,
,"Not-active","Inventory Part","022315206915:PSR-GW9503","Oscillator assembly kit for Great White","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Oscillator assembly kit for Great White",0,,53.74,,,62.46,"",,
,"Active","Inventory Part","022315304802","System 3 Small Repl. Cart. (S7M120 - 100 SQ.FT.) (Before 25021-0220)","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"System 3 Small Repl. Cart. (S7M120 - 100 SQ.FT.)",0,,95.89,"Horner Xpress",,168.58,"",,
,"Active","Inventory Part","022315306264","ANK O-RING FOR POSI-FLO II (PTM) & POSI-CLEAR (PXC) ON A PTM135 IT FITS MIDDLE AND TOP TANK","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"ANK O-RING FOR POSI-FLO II (PTM) & POSI-CLEAR (PXC) ON A PTM135 IT FITS MIDDLE AND TOP TANK",3,,8.41,"JetLine",,11.00,0,"25230-0010S",
,"Not-active","Inventory Part","025336126705 -RMI-235","8 oz SLOW TABS 25 lbs.  Trichloroisocyanuric Acid.Dry 51 UN2468 (OXIDIZER) RMI-235","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"8 oz SLOW TABS 25 lbs. Trichloroisocyanuric Acid.Dry 51 UN2468 (OXIDIZER) RMI-235",-16,,71.00,"AllChem",,86.00,"","RMI-235",
,"Not-active","Inventory Part","025336126705 -RMI-235:PMI-235","8 oz SLOW TABS 25 lbs. WRAPPED Trichloroisocyanuric Acid.Dry 51 UN2468 (OXIDIZER) PMI-235","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"8 oz SLOW TABS 25 lbs. Wrapped   Trichloroisocyanuric Acid.Dry 51 UN2468 (OXIDIZER) PMI-235",-20,,71.00,"JetLine",,86.00,"","PMI-235",
,"Not-active","Inventory Part","025336199907","Algaecide 10%. 1 Gallon. Nuclo","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Algaecide 10%. 1 Gallon. NUCLO..UP92003",-7,,6.33,"Universal Pkg. Co.",,9.12,"","RMI-UP92003",
,"Active","Inventory Part","025336305001","NUCLO - Clarifier - 1 QT. -  UP92401 RMI-285","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"NUCLO - Clarifier - 1 QT. -  UP92401 RMI-285",29,,5.75,"AllChem",,7.60,"",,
,"Active","Inventory Part","025336305001:078399728805","Qt. Super Clarifier, Spa*rkle 93050","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Qt. Super Clarifier, Spa*rkle 93050  ..(18/pk)",-16,,7.47,"Universal Pkg. Co.",,10.85,0,"A72880",
,"Not-active","Inventory Part","025336305001:4260-Q","Spa*rkle Super Clarifier - 1 Quart","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Spa*rkle Super Clarifier - Quart",9,,7.90,"Universal Pkg. Co.",,13.43,0,,
,"Not-active","Inventory Part","025336305001:4260-Q-C","Spa*rkle Super Clarifier - 18 Quarts/Case","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Spa*rkle Super Clarifier - Quart Case",0,,142.20,"Universal Pkg. Co.",,218.13,0,,
,"Not-active","Inventory Part","025336305001:PMI-UP92401","NUCLO - Clarifier - 1 QT. - UP92401","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"NUCLO - Clarifier - 1 QT. - UP92401",-1,,4.60,"AllChem",,9.98,"",,
,"Not-active","Inventory Part","025337160104","ALDEN LEDDS ORTEX QUICK KILL ALGAE KILLER SUPERCHLORINATOR 2 LBS","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"ALDEN LEDDS ORTEX QUICK KILL ALGAE KILLER SUPERCHLORINATOR 2LBS",-10,,6.20,"JetLine",,7.86,"","16010",
,"Active","Inventory Part","025337310608","Spa PH+ Increaser","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Spa PH+ Increaser",10,,2.99,"Horner Xpress",,5.95,"",,
,"Active","Inventory Part","025528137489","1/2 COUPLING","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"1/2 COUPLING",0,,0.72,,,1.00,"","1/2 COUPLING",
,"Active","Inventory Part","0300","Vinyl ADH Corrosive Plate  #1791","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Vinyl ADH Corrosive Plate  #1791",0,,3.47,"J.J.Keller Associates, Inc",,7.39,"",,
,"Active","Inventory Part","031949488383","FPR4Filter..20x24X1 RHEEM","Tax","4000 � Gross Sales:4001 � Janitorial Supplies","5007A � Raw Chemicals for Mfg. Products","1120 � Inventory Asset",0.00,"FPR4Filter..20x24X1 RHEEM",0,,4.74,"Homedepot",,14.74,"",,
,"Active","Inventory Part","031949488505","FPR4Filter..24x24X1 RHEEM","Tax","4000 � Gross Sales:4001 � Janitorial Supplies","1300 � Inventory:1301 � Janitorial Supplies","1120 � Inventory Asset",0.00,"FPR4Filter..24x24X1 RHEEM",0,,4.74,"Homedepot",,14.74,"",,
,"Active","Inventory Part","031949489458","FPR4Filter..20""x25""x1"" Allergent Plea+Filter","Tax","4000 � Gross Sales:4001 � Janitorial Supplies","5007A � Raw Chemicals for Mfg. Products","1120 � Inventory Asset",0.00,"FPR4Filter..20""x25""x1"" Allergent Plea+Filter",0,,11.97,"Homedepot",,21.97,"",,
,"Active","Inventory Part","035186200739","47246270 12/CS 14/LYR E-Z CLOR #2 GRANULAR ALGAE OUT","Tax","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products",0.00,"47246270 12/CS 14/LYR E-Z CLOR #2 GRANULAR ALGAE OUT",-15,,14.72,"SCP Distributors LLC (Medley)166",,18.95,"","47246270",
,"Active","Inventory Part","035186202375","47256940 REGAL #50 CHLORINATED TABS UW","Tax","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products",0.00,"47256940 REGAL #50 CHLORINATED TABS UW",-27,,138.00,"SCP Distributors LLC (Medley)166",,169.45,"","47246940",
,"Active","Inventory Part","035186202498","47246280 REGAL #2 GRANULAR 90 TRICHLOR","Tax","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products",0.00,"47246280 REGAL #2 GRANULAR 90 TRICHLOR",40,,13.16,"SCP Distributors LLC (Medley)166",,17.95,"","47246280",
,"Active","Inventory Part","035186202801","47246160 REGAL QT SUPER KLEAR PLUS","Tax","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products",0.00,"47246160 REGAL QT SUPER KLEAR PLUS",10,,7.47,"SCP Distributors LLC (Medley)166",,10.80,"","47246160",
,"Active","Inventory Part","035186203518","47246200 REGAL QT PHOSPHATE REMOVER","Tax","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products","5007A � Raw Chemicals for Mfg. Products",0.00,"47246200 REGAL QT PHOSPHATE REMOVER",19,,14.57,"SCP Distributors LLC (Medley)166",,19.97,"","47246200",
,"Not-active","Inventory Part","038753310152","31015 GOLD CAN GLUE CLEAR 1QT","Tax","4000 � Gross Sales:4004 � Pool Supplies","5004 � Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"31015 GOLD CAN GLUE CLEAR 1QT",0,,13.90,"JetLine",,17.38,"","31015",
,"Active","Inventory Part","040011940186","BUDY HOLDER W/30' HEAVING LINE","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"BUDY HOLDER W/30' HEAVING LINE",0,,18.28,"SCP Distributors LLC (Medley)166",,27.90,"","PS375",
,"Active","Inventory Part","041430073684","AquaSalt, 40lbs bag RMI-201A","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"AquaSalt, 40lbs bag RMI-201A",1424,,6.99,"JetLine",,8.99,"","8368",
,"Active","Inventory Part","042601050404","ALGACIDE BRUSH ABB5040","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1120 � Inventory Asset",0.00,"ALGACIDE BRUSH ABB5040",-1,,25.53,,,29.00,"","ABB5040",
,"Active","Inventory Part","042601060021","A & B 4' Wood and Plastic Tile Brush (MN144) RMNT-6002","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"A & B 4' Wood and Plastic Tile Brush (MN144) RMNT-6002",-1,,9.39,"JetLine",,12.21,"","RMNT-6002",
,"Active","Inventory Part","046878580404","BRASS SWEEPER NOZZLE","Tax","4000 � Gross Sales:4004 � Pool Supplies","5004 � Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"BRASS SWEEPER NOZZLE",-11,,4.26,"SCP Distributors LLC (Medley)166",,6.40,"","58040N",
,"Not-active","Inventory Part","050143010503","Plastic Water Hose Nozzle With Solid Jet Stream and Shut-Off Valve. (1050)","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Plastic Water Hose Nozzle With Solid Jet Stream and Shut-Off Valve. (1050)",0,,1.45,,,2.18,"","1050",
,"Active","Inventory Part","05027375025457","Wypall Wipers White (18/56)..KCC 05701..154005571","Tax","4000 � Gross Sales:4003 � Paper Supplies","5000 � Cost of Goods Sold:5003 � Paper Supplies","1300 � Inventory:1303 � Paper Supplies",0.00,"Wypall Wiper White 12.5x 14  (18/56)..KCC  05701 - 154005571 3160",0,,78.72,"Sweet Brokerage & Distr.",,102.76,0,,"49%"
,"Active","Inventory Part","052337021944","PHPM BACKPLATE GASKET R0446300","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"PHPM BACKPLATE GASKET R0446300",0,,6.10,,,10.20,0,"R0446300",
,"Active","Inventory Part","052337022323","TAILPIECE - NUT -ORNG HP-PLUS","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"TAILPIECE - NUT -ORNG HP-PLUS",0,,19.14,"JetLine",,26.00,0," RJDY-R0449000",
,"Active","Inventory Part","052337022330","ORING TAILPIECE HP-PLUS  R0449200","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"ORING TAILPIECE HP-PLUS R0449200",4,,2.95,"JetLine",,3.89,0,"R0449100",
,"Active","Inventory Part","052337023771","R0461800 UNIVERSAL HALF UNION..CARTRIDGE FILTER CV SERIES  ..SKU R0461800","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"R0461800 UNIVERSAL HALF UNION..CARTRIDGE FILTER CV SERIES  ..SKU R0461800",1,,77.94,"JetLine",,98.60,"","R0461800",
,"Active","Inventory Part","052337025102","JANDY PRESSURE   GAUGE ADAPTER AND QRING R0557100","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"JANDY PRESSURE   GAUGE ADAPTER AND QRING R0557100",7,,14.30,"JetLine",,18.90,"","R0557100",
,"Active","Inventory Part","052337033152","Mechanical Seal replacement. Used on the following models: SHP, PHP, MHP, WFRT, FHP, SWF, JEP.  ...","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Mechanical Seal replacement. Used on the following models: SHP, PHP, MHP, WFRT, FHP, SWF, JEP.  ...",0,,18.79,"JetLine",,24.50,"",,
,"Active","Inventory Part","052337034494","PLUS HP LID ORING","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"PLUS HP LID ORING",9,,5.23,"JetLine",,9.00,0,"R0480200",
,"Not-active","Inventory Part","052337034616","IMPELLER & SCREW W/ORING FHPM 2.0","Tax","4000 � Gross Sales:4004 � Pool Supplies","5004 � Pool Supplies","1120 � Inventory Asset",0.00,"IMPELLER & SCREW W/ORING FHPM 2.0",0,,50.55,"JetLine",,65.71,"","R0479604",
,"Active","Inventory Part","052337035521"," 2' TAILPIECE UNION KIT FLOPRO","Tax","5000 � Cost of Goods Sold:5005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1120 � Inventory Asset",0.00," 2' TAILPIECE UNION KIT FLOPRO",8,,28.77,"Horner Xpress",,39.87,"","R0327301",
,"Active","Inventory Part","052337053556","JANDY 7056 CHECK VALVE FLAP KIT 7056","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"JANDY 7056 CHECK VALVE FLAP KIT 7056",0,,42.33,"JetLine",,52.91,0,"7056",
,"Active","Inventory Part","052337054416","MX8  DIRECTION CONTROL DEVICE  SIDE B RJDY-R0524800","Tax","5000 � Cost of Goods Sold:5005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1120 � Inventory Asset",0.00,"MX8 DIRECTION  CONTROL DEVICE  SIDE B",0,,16.51,"JetLine",,21.34,"","R0524800",
,"Active","Inventory Part","052337054546","MX8 TRACK BARRACUDA TRACK","Tax","5000 � Cost of Goods Sold:5005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1120 � Inventory Asset",0.00,"MX8 TRACK BARRACUDA TRACK   RJDY-R0526100",1,,9.86,"JetLine",,13.90,"","R526100",
,"Active","Inventory Part","052337054621","ZODIAC BARACUDA  MX8 QUICK CONNECTOR RZOD-R0526900","Tax","4000 � Gross Sales:4003 � Paper Supplies","5007A � Raw Chemicals for Mfg. Products","1300 � Inventory:1304 � Pool Supplies",0.00,"ZODIAC BARACUDA  MX8 QUICK CONNECTOR   RZOD-R0526900",0,,4.50,"JetLine",,6.10,0,"R0526900",
,"Active","Inventory Part","0610377005715","Locking Knob (For C-800, 1100, 1500 Filters)HAYWARD STAR CLEAR FILTER PART � CX800G STAR CLEAR I...","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Locking Knob (For C-800, 1100, 1500 Filters)HAYWARD STAR CLEAR FILTER PART � CX800G STAR CLEAR I...",0,,14.35,"Horner Xpress",,20.48,"","CX800G",
,"Active","Inventory Part","0610377005715:PHW-C800G","Locking Knob (For C-800, 1100, 1500 Filters)","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Locking Knob (For C-800, 1100, 1500 Filters)",2,,12.41,,,15.51,"",,
,"Active","Inventory Part","0610377008181","Main Drain Cover 8' White. Includes 4 Screw Sets. (Substitute for SP1048E)  WGX1048E","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Main Drain Cover 8' White..(Substitute for SP1048E)  WGX1048E",4,,8.98,,,14.21,"",,
,"Active","Inventory Part","0610377024808","Air relief fitting, new style ECX1322A","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Air relief fitting, new style  ECX1322A",4,,7.12,"JetLine",,9.90,2,"ECX1322A",
,"Not-active","Inventory Part","0610377024808:0610377024808","Air relief fitting, new style DIRECTIONAL W/ORING HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Air relief fitting, new style DIRECTIONAL W/ORING HAYWARD",0,,4.29,"JetLine",,8.52,2,"ECX1322A",
,"Active","Inventory Part","0610377037167","Round skimmer lid 8 1/2'   SPX1084R","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Round skimmer lid 8 1/2'   SPX1084R",2,,24.65,,,29.89,0,"RHW-SPX1084R",
,"Not-active","Inventory Part","0610377037167:PHW-SP1084R","Round skimmer lid 8 1/2' COVER ROUND HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Round skimmer lid 8 1/2' COVER ROUND HAYWARD",-2,,15.44,,,19.89,"","SPX1084R",
,"Active","Inventory Part","0610377038379","Face Plate Screw Set  RHW-SPX1425Z32-FPS GRATE SCREWS","7.5","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Face Plate Screw Set  RHW-SPX1425Z32-FPS GRATE SCREWS",0,,1.74,"JetLine",,3.60,"","SPX1425Z32",
,"Active","Inventory Part","0610377038379:PHW-SPX1425Z32 -FPS","Face Plate Screw set","7.5","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Face Plate Screw set",0,,1.80,"JetLine",,2.70,"",,
,"Active","Inventory Part","0610377040174","Super Pump housing cap screw (4 Req'd)","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Super Pump housing cap screw (4 Req'd)",3,,2.37,"JetLine",,3.37,"","SPX1600ZA",
,"Active","Inventory Part","0610377040174:0610377040174","Super Pump housing cap screw (4 Req'd) HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Super Pump housing cap screw (1..SUPERPUMP HOUSING CAP SCREW ONE..HAYWARD..",0,,2.37,"JetLine",,3.31,2,"SPX1600Z4",
,"Active","Inventory Part","0610377040679","MAX FLO 1/4 DRAIN PLUG  SPX1700FGV HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"MAX FLO 1/4 DRAIN PLUG  SPX1700FGV HAYWARD",1,,2.61,"JetLine",,3.65,2,"SPX1700FGV",
,"Active","Inventory Part","0610377045544","SP1026 SAFETY GRATE 1 1/2  SP1026","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"SP1026 SAFETY GRATE 1 1/2  SP1026",-2,,0.97,"JetLine",,1.70,0,"SP1026",
,"Active","Inventory Part","0610377045711","Main drain bumper kit SP1048AVH SUCTION CLEANER ADAP","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Main drain bumper kit  SP1048AVH SUCTION CLEANER ADAP",0,,9.03,"JetLine",,14.95,2,"SP1048AVH",
,"Active","Inventory Part","0610377045711:0610377045711","SUCTION CLEANER ADAP HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"SUCTION CLEANER ADAP HAYWARD",0,,9.04,"JetLine",,12.95,2,"SP1048AVH",
,"Not-active","Inventory Part","061037720938","Cartridge Guide Cone for  Star-Clear Plus","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00,"Cartridge Guide Cone for  Star-Clear Plus",-7,,3.77,"JetLine",,5.99,2,"CX900D",
,"Active","Inventory Part","0610377209434","StarClear Plus Filter Head CX1200B","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"StarClear Plus Filter Head CX1200B",1,,193.00,,,231.00,"","CX1200B",
,"Not-active","Inventory Part","0610377209656"," HAYWARD LIGHT & NICHE PARTS � HAYWARD ASTROLITE PARTS � LENS GASKET..LENS GASKET","Tax","4000 � Gross Sales:4004 � Pool Supplies","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1304 � Pool Supplies",0.00," HAYWARD LIGHT & NICHE PARTS � HAYWARD ASTROLITE PARTS � LENS GASKET..LENS GASKET",5,,11.45,"JetLine",,14.85,"","SPX0590G",
,"Active","Inventory Part","0610377212601","Skimmer Cone RHW-AXV093BP HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Skimmer Cone RHW-AXV093BP  HAYWARD",0,,5.28,"JetLine",,7.60,2,"AXV093BP",
,"Active","Inventory Part","0610377218696","Adapter Cone Skimmer  AXV093CP HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:5005 � Pool Equipment","1300 � Inventory:1305 � Pool Equipment",0.00,"Adapter Cone Skimmer..AXV093CP HAYWARD",0,,6.84,"JetLine",,8.99,2,"AXV093CP",
,"Active","Inventory Part","0610377232791","E-Ring for  Star-Clear Plus..CX900J HAYWARD","Tax","4000 � Gross Sales:4005 � Pool Equipment","5000 � Cost of Goods Sold:Pool Supplies","1300 � Inventory:1305 � Pool Equipment",0.00,"E-Ring for  Star-Clear Plus ..CX900J HAYWARD",15,,8.61,"JetLine",,10.80,2,"CX900J",
